Mois;Hauteur;Capteurs
1;199.163;Sentinel 3A
1;197.09;Sentinel 3A
1;198.909;Sentinel 3A
1;197.649;Sentinel 3A
1;196.605;Sentinel 3A
1;195.20725;ENVISAT
1;199.80996;ENVISAT
1;198.9992749;ENVISAT
1;198.02855;ENVISAT
1;199.019875;ENVISAT
1;195.00178;ENVISAT
1;199.724959107696;ERS2
1;198.883902584321;ERS2
1;201.322721816991;ERS2
1;196.282423949135;SARAL
2;198.171;Sentinel 3A
2;198.331;Sentinel 3A
2;194.67;Sentinel 3A
2;191.467;Sentinel 3A
2;198.31357;ENVISAT
2;198.85838;ENVISAT
2;199.1035798;ENVISAT
2;197.6189801;ENVISAT
2;195.8118275;ENVISAT
2;192.846205;ENVISAT
2;198.469054539478;ERS2
2;197.062643101048;ERS2
2;198.692119632585;ERS2
2;197.887908991189;SARAL
2;193.990041372406;SARAL
3;195.938;Sentinel 3A
3;194.959;Sentinel 3A
3;192.188;Sentinel 3A
3;192.658;Sentinel 3A
3;188.616;Sentinel 3A
3;196.71324;ENVISAT
3;199.02987;ENVISAT
3;198.14565;ENVISAT
3;198.0340399;ENVISAT
3;193.7517575;ENVISAT
3;197.183175;ENVISAT
3;190.171965;ENVISAT
3;197.178345356949;ERS2
3;197.079749248044;ERS2
3;195.982852664033;ERS2
3;197.292550177762;SARAL
4;194.981;Sentinel 3A
4;195.141;Sentinel 3A
4;192.188;Sentinel 3A
4;191.515;Sentinel 3A
4;186.744;Sentinel 3A
4;195.7460198;ENVISAT
4;195.933195;ENVISAT
4;192.38695;ENVISAT
4;195.2749625;ENVISAT
4;188.72334;ENVISAT
4;195.139271267034;ERS2
4;195.640215901519;ERS2
4;196.314866212;ERS2
4;192.036873863694;SARAL
5;194.981;Sentinel 3A
5;193.207;Sentinel 3A
5;189.934;Sentinel 3A
5;189.547;Sentinel 3A
5;185.783;Sentinel 3A
5;195.413365;ENVISAT
5;193.61723;ENVISAT
5;190.40175;ENVISAT
5;193.293271926656;ERS2
5;196.550886345388;ERS2
5;193.510114415516;ERS2
5;194.526372095268;ERS2
5;197.987738483265;ERS2
5;192.523781602359;ERS2
6;192.894;Sentinel 3A
6;193.177;Sentinel 3A
6;188.952;Sentinel 3A
6;187.821;Sentinel 3A
6;184.686;Sentinel 3A
6;193.5566;ENVISAT
6;196.396775;ENVISAT
6;194.71299;ENVISAT
6;191.23587;ENVISAT
6;191.129925;ENVISAT
6;187.4169675;ENVISAT
6;194.152973520665;ERS2
6;192.666296578361;ERS2
6;194.756395311128;ERS2
6;192.642989057308;ERS2
6;191.989138600568;ERS2
6;194.821115558339;ERS2
7;197.115;Sentinel 3A
7;197.115;Sentinel 3A
7;195.991;Sentinel 3A
7;190.012;Sentinel 3A
7;186.765;Sentinel 3A
7;194.303295;ENVISAT
7;193.8002;ENVISAT
7;189.3640625;ENVISAT
7;189.674485;ENVISAT
7;189.46655;ENVISAT
7;189.46655;ENVISAT
7;187.320775;ENVISAT
7;193.859314981501;ERS2
7;193.264033286806;ERS2
7;190.618016305042;ERS2
7;191.481267661305;SARAL
8;197.261;Sentinel 3A
8;198.045;Sentinel 3A
8;197.02;Sentinel 3A
8;192.186;Sentinel 3A
8;186.765;Sentinel 3A
8;199.0238;ENVISAT
8;196.617835;ENVISAT
8;191.22582;ENVISAT
8;192.6932975;ENVISAT
8;190.746535;ENVISAT
8;188.7198;ENVISAT
8;196.394676715079;ERS2
8;196.037076056583;ERS2
8;196.936998693049;ERS2
8;191.793264117045;ERS2
8;195.521936751524;ERS2
8;189.208806839468;SARAL
9;198.951;Sentinel 3A
9;200.061;Sentinel 3A
9;196.199;Sentinel 3A
9;194.425;Sentinel 3A
9;199.8437;ENVISAT
9;199.753355;ENVISAT
9;197.2949849;ENVISAT
9;198.70465;ENVISAT
9;195.942825;ENVISAT
9;194.96912;ENVISAT
9;198.488474755702;ERS2
9;197.294052260741;ERS2
9;200.013047498151;ERS2
9;193.22339011137;ERS2
9;193.595678906504;SARAL
9;194.693905146699;SARAL
10;199.911;Sentinel 3A
10;199.97;Sentinel 3A
10;198.972;Sentinel 3A
10;197.4407325;ENVISAT
10;200.35401;ENVISAT
10;198.969855;ENVISAT
10;198.34539;ENVISAT
10;199.7182426;ENVISAT
10;200.4501325;ENVISAT
10;199.57877;ENVISAT
10;200.366132099089;ERS2
10;200.366132099089;ERS2
10;201.168702905173;ERS2
10;198.907934667361;ERS2
11;199.857;Sentinel 3A
11;199.146;Sentinel 3A
11;199.836;Sentinel 3A
11;200.18371;ENVISAT
11;200.48005;ENVISAT
11;200.84769;ENVISAT
11;200.19949;ENVISAT
11;199.8227;ENVISAT
11;199.8227;ENVISAT
11;196.8206775;ENVISAT
11;201.126746482889;ERS2
11;200.43146776176;ERS2
12;200.011;Sentinel 3A
12;198.2;Sentinel 3A
12;199.965;Sentinel 3A
12;198.924;Sentinel 3A
12;197.756;Sentinel 3A
12;200.06287;ENVISAT
12;199.991695;ENVISAT
12;199.5520499;ENVISAT
12;199.8922775;ENVISAT
12;196.47621;ENVISAT
12;199.406251542781;ERS2
12;200.673810202184;ERS2
12;201.017035526831;ERS2
12;200.458189596038;ERS2
12;201.10576972928;ERS2
12;199.619137199053;ERS2
12;198.22489132495;SARAL
