Date;Insitu;TA16;TD743
2016-06-02;193.16;192.89;193.38
2016-06-29;192.78;193.05;193.00
2016-07-26;193.37;194.27;193.53
2016-08-22;196.71;197.26;196.59
2016-10-15;200.05;199.91;200.18
2016-11-11;200.06;199.86;199.69
2016-12-08;199.99;200.01;200.08
2017-01-04;199.36;199.16;199.57
2017-01-31;198.38;198.17;198.59
2017-03-26;196.10;195.94;196.31
2017-04-22;195.04;194.98;195.24
2017-07-12;196.52;197.12;196.39
2017-08-08;197.49;198.05;197.39
2017-09-04;199.61;198.95;199.31
2017-10-01;200.02;199.97;199.57
2017-10-28;199.93;200.08;199.91
2017-11-24;198.99;199.15;199.06
2017-12-21;198.32;198.20;198.41
2018-01-17;197.35;197.09;197.53
2018-03-12;195.21;194.96;195.40
2018-04-08;194.38;195.14;194.55
2018-05-05;193.38;193.21;193.49
2018-06-01;192.95;193.18;193.10
2018-06-28;193.23;193.04;193.38
2018-07-25;195.72;195.99;195.97
2018-08-21;196.96;197.02;197.17
2018-09-17;199.99;200.06;200.10
2018-12-07;199.93;199.97;200.24
2019-01-03;199.19;198.91;199.51
2019-01-31;198.09;198.33;198.43
2019-02-26;190.85;194.14;196.46
2019-03-25;193.04;192.19;193.52
2019-05-18;189.44;189.93;190.00
2019-06-14;188.36;188.95;188.76
2019-07-11;188.35;190.01;188.73
2019-08-07;190.84;192.19;191.51
2019-09-03;195.34;196.20;195.50
2019-09-30;199.01;198.97;199.21
2019-11-23;199.43;199.84;199.56
2019-12-20;198.88;198.92;199.15
2020-01-16;197.56;197.65;197.56
2020-02-12;195.62;194.67;195.49
2020-03-10;192.79;192.66;192.99
2020-04-06;190.70;191.52;190.55
2020-05-03;189.19;189.55;189.34
2020-05-30;187.90;187.72;187.95
2020-06-26;187.53;187.82;189.03
2020-07-23;187.42;186.77;187.62
2020-09-15;193.77;194.43;193.75
2020-12-05;198.03;197.76;198.04
2021-01-01;196.59;196.61;196.53
2021-02-21;191.96;191.47;191.77
2021-03-23;188.94;188.62;188.99
2021-04-19;187.30;186.74;187.22
2021-05-16;186.08;185.78;186.94
2021-06-12;185.54;184.69;186.38
