Date;Insitu;Hauteurs en m;Surface en km2;Hauteur en km;Volume Heron km3;Volume stat km3;;Volume Hydroweb
29/06/2016;192.78;193,1;457,8;0,19305;0,548275228;5,423724516;-2,681679783; 0.02 
26/07/2016;193.37;194,3;441,1;0,19427;1,462462007;13,292438;-6,572300434;
22/08/2016;196.71;197,3;538,8;0,19726;1,43461131;11,78073115;-5,824932949;1.84
15/10/2016;200.05;199,9;544,0;0,19991;-0,029112956;-0,222296648;0,10990426;
11/11/2016;200.06;199,9;621,4;0,19986;0,092539237;0,666809835;-0,329712763;
08/12/2016;199.99;200,0;612,5;0,20001;-0,517221985;-3,778729784;1,868372945;4.01
04/01/2017;199.36;199,2;604,5;0,19916;-0,592310534;-4,40112843;2,176106861;
31/01/2017;198.38;198,2;592,1;0,19817;-1,19291029;-9,913718897;4,90174315;
26/03/2017;196.10;195,9;479,8;0,19594;-0,480339419;-4,267838857;2,11017065;1.55
22/04/2017;195.04;195,0;521,2;0,19498;1,13526094;9,513630314;-4,703919439;
12/07/2017;196.52;197,1;539,8;0,19712;0,512434818;4,134380774;-2,044223693;
08/08/2017;197.49;198,1;562,3;0,19805;0,536651907;4,000991968;-1,978279275; 2.7
04/09/2017;199.61;199,0;631,0;0,19895;0,629746498;4,534435179;-2,242047801;
01/10/2017;200.02;200,0;603,9;0,19997;0,067656461;0,48898828;-0,241789339;
28/10/2017;199.93;200,1;626,2;0,20008;-0,578854874;-4,134372364;2,044219753;3.97
24/11/2017;198.99;199,2;618,6;0,19915;-0,571956433;-4,223305617;2,088183332;
21/12/2017;198.32;198,2;585,7;0,1982;-0,640802357;-4,934624647;2,439879753;
17/01/2018;197.35;197,1;569,0;0,19709;-1,074927609;-9,469213789;4,681938618;
12/03/2018;195.21;195,0;443,0;0,19496;0,083296461;0,800199052;-0,395657151;
08/04/2018;194.38;195,1;482,8;0,19514;-0,921421959;-8,58017768;4,242327419;
05/05/2018;193.38;193,2;472,0;0,19321;-0,013570398;-0,133389752;0,065942975;
01/06/2018;192.95;193,2;432,9;0,19318;-0,0602749;-0,622417366;0,307733906;
28/06/2018;193.23;193,0;428,1;0,19304;1,392969378;13,1147062;-6,484384377;0.78
25/07/2018;195.72;196,0;517,7;0,19599;0,543504245;4,578968355;-2,264035014;
21/08/2018;196.96;197,0;537,7;0,19702;1,742611801;13,51450551;-6,682187518;
17/09/2018;199.99;200,1;609,5;0,20006;-0,055433351;-0,400117714;0,197827643;
07/12/2018;199.93;200,0;622,4;0,19997;-0,642301135;-4,712297265;2,329971288;
03/01/2019;199.19;198,9;589,6;0,19891;-0,335820131;-2,578447703;1,274890943;
31/01/2019;198.09;198,3;568,4;0,19833;-2,280447254;-18,62719192;9,210008873;2.95
26/02/2019;190.85;194,1;520,4;0,19414;-0,937170671;-8,66914097;4,286293471;
25/03/2019;193.04;192,2;441,8;0,19219;-0,924025868;-10,04742931;4,967714153;
18/05/2019;189.44;189,9;376,7;0,18993;-0,326006514;-4,35690015;2,154144847;
14/06/2019;188.36;189,0;290,4;0,18895;0,297158179;4,712527034;-2,329993318;
11/07/2019;188.35;190,0;270,4;0,19001;0,629060412;9,691730022;-4,791865682;
07/08/2019;190.84;192,2;307,2;0,19219;1,529422959;17,82714849;-8,814369237;
03/09/2019;195.34;196,2;460,8;0,1962;1,496888669;12,31426953;-6,088709279;
30/09/2019;199.01;199,0;624,1;0,19897;0,542702328;3,867604775;-1,912334989;
23/11/2019;199.43;199,8;623,5;0,19984;-0,562203697;-4,089922395;2,022239346;
20/12/2019;198.88;198,9;598,7;0,19892;-0,742245621;-5,645898602;2,791572435;
16/01/2020;197.56;197,7;570,3;0,19765;-1,628469149;-13,24799019;6,550317039;
12/02/2020;195.62;194,7;523,0;0,19467;-1,012652278;-8,935857817;4,418177327;
10/03/2020;192.79;192,7;484,8;0,19266;-0,519033495;-5,068151788;2,505835663;
06/04/2020;190.70;191,5;426,4;0,19152;-0,79616169;-8,758185868;4,330266264;2.95
03/05/2020;189.19;189,6;382,3;0,18955;-0,599909687;-8,135865783;4,022538859;
30/05/2020;187.90;187,7;276,2;0,18772;-0,295980208;-4,223578647;2,088205987;
23/07/2020;187.42;186,8;348,3;0,18677;3,142303649;34,05457058;-16,83748098;
15/09/2020;193.77;194,4;475,4;0,19443;1,744068291;14,80392695;-7,319650029;
05/12/2020;198.03;197,8;573,6;0,19776;-0,642932579;-5,112461572;2,527804451;
01/01/2021;196.59;196,6;544,7;0,19661;-2,530142255;-22,8508221;11,29822058;
21/02/2021;191.96;191,5;441,6;0,19147;-1,129764397;-12,67049914;6,264601316;
23/03/2021;188.94;188,6;352,8;0,18862;-0,596197035;-8,358202041;4,132448037;
19/04/2021;187.30;186,7;282,7;0,18674;-0,259623341;-4,26806097;2,110189075;
16/05/2021;186.08;185,8;258,4;0,18578;-0,266419312;-4,84605334;2,395946176;
12/06/2021;185.54;184,7;230,7;0,18469;;;406,0056503;
