Dates;Hauteurs en m;Surface en km2;Hauteur en km;Volume Heron km3;Volume stat km3;Volume hydrw
19/03/2016;181;467;0,18103;0,099358497;0,096475439;0.0
15/04/2016;181;332;0,18128;-0,083868386;-0,096475439;-0.26
12/05/2016;181;339;0,18103;-0,047474147;-0,053356822;-0.26
08/06/2016;181;339;0,18089;0,133897278;0,149832261;
05/07/2016;181;348;0,18128;2,134112363;2,359317683;-0.32
21/10/2016;186;475;0,18649;-0,041953745;-0,046405606;1.91 
14/12/2016;186;457;0,1864;-0,430020139;-0,482634547;1.84
10/01/2017;185;439;0,18544;-1,306426175;-1,39173693; 1.66 
01/04/2017;182;413;0,18237;0,320397364;0,340402536;
21/06/2017;183;388;0,18317;-0,194992659;-0,206124734;0.35
18/07/2017;183;424;0,18269;0,35934133;0,36442586; 0.39
14/08/2017;184;431;0,18353;0,393441389;0,414319528;0.41 
10/09/2017;184;433;0,18444;-0,035547523;-0,037237792; 0.9 
07/10/2017;184;455;0,18436;0,769692169;0,794741999;1.44
03/11/2017;186;483;0,186;-0,632539057;-0,640124616;1.76
30/11/2017;185;482;0,18469;0,555419417;0,594800386;1.52
27/12/2017;186;429;0,18591;-0,158243489;-0,184246208;1.53
23/01/2018;186;427;0,18554;-1,931917194;-1,9452676;1.35
19/02/2018;181;446;0,18111;1,523184068;1,473484771;0.95
18/03/2018;185;437;0,18456;-0,26240319;-0,259016733;1.0
14/04/2018;184;500;0,184;0,04741717;0,045689005;0.67
11/05/2018;184;448;0,1841;-0,431134444;-0,428492179;0.79
07/06/2018;183;450;0,18314;0,079300662;0,078620909;0.48 
04/07/2018;183;431;0,18332;0,332276565;0,326996116;0.36
27/08/2018;184;479;0,18405;1,441597708;1,343925667;1.49
23/09/2018;187;574;0,18679;2,454899684;2,379821288;
20/10/2018;191;612;0,19093;-0,880513284;-0,887233532;4.12
16/11/2018;189;594;0,18947;0,753792793;0,768813175;
13/12/2018;191;593;0,19074;-0,332555647;-0,34387901;4.1
09/01/2019;190;595;0,19018;-0,226872172;-0,234944652;3.76 
05/02/2019;190;569;0,18979;-0,409735574;-0,423945382;3.5
04/03/2019;189;570;0,18907;-0,481262737;-0,472941682;3.1 
31/03/2019;188;590;0,18824;-0,25919999;-0,249352117;2.73
27/04/2019;188;562;0,18779;-1,757508765;-1,625265428;2.51 
24/05/2019;185;540;0,1846;0,774762127;0,707823771;1.62
20/06/2019;186;529;0,18605;-0,201644772;-0,195448677;1.55
17/07/2019;186;506;0,18566;-0,578868899;-0,545241379;1.42
13/08/2019;185;519;0,18453;0,597092701;0,550206294;1.37
09/09/2019;186;529;0,18567;0,735060133;0,671604676;1.98 
06/10/2019;187;594;0,18698;0,945414774;0,860337337;3.12 
02/11/2019;189;610;0,18855;1,278310642;1,2390753;3.94
29/11/2019;191;613;0,19064;-0,387211856;-0,396834175;3.99
26/12/2019;190;578;0,18999;-0,450391155;-0,462525648;3.66 
22/01/2020;189;577;0,18921;-1,218953952;-1,187056551;3.2
18/02/2020;187;568;0,18708;-0,612737521;-0,564428961; 2.73 
16/03/2020;186;556;0,18599;-0,383843224;-0,337364082;2.31 
12/04/2020;185;573;0,18531;0,392724552;0,342409916;2.16
09/05/2020;186;566;0,186;-0,320951246;-0,29350866;1.78
05/06/2020;185;523;0,18541;-0,232428696;-0,218124623;1.42 
02/07/2020;185;510;0,18496;-0,290302586;-0,273813981;1.22
29/07/2020;184;491;0,18438;-0,019514559;-0,018579662;0.96
25/08/2020;184;485;0,18434;0,501404571;0,481148087; 0.92
21/09/2020;185;508;0,18535;0,735399333;0,718771709;1.42
18/10/2020;187;528;0,18677;0,010578455;0,010476648;2.13
14/11/2020;187;530;0,18679;-0,349643493;-0,345628247;2.09
11/12/2020;186;514;0,18612;-0,452045131;-0,446952663;1.81
07/01/2021;185;491;0,18522;-1,219609936;-1,188057628; 1.35
02/03/2021;183;441;0,1826;-0,46789244;-0,440740721; 0.31 
29/03/2021;182;426;0,18152;-0,291111522;-0,277937539;-0.13
25/04/2021;181;383;0,1808;-0,151034177;-0,14891704;-0.37
18/06/2021;180;372;0,1804;0,014500873;0,014715153;
15/07/2021;180;353;0,18044;1,034373007;1,118820535;
07/09/2021;183;391;0,18322;0,783414691;0,912410552;
04/10/2021;185;400;0,1852;-0,268019662;-0,305435187; 1.37
27/11/2021;185;438;0,18456;0,231010742;0,261876469;1.46
24/12/2021;185;402;0,18511;-0,615858661;-0,705654452; 1.29
16/02/2022;184;408;0,18359;;;
